,part_id,word,property,score,reaction_time,slider_order
100,6503088.0,car,replication,3.0,27854.0,1
101,6503088.0,car,freewill,2.0,27854.0,1
102,6503088.0,car,energy,97.0,27854.0,1
103,6503088.0,car,communication,20.0,27854.0,1
104,6503088.0,car,goal_setting,3.0,27854.0,1
105,6503088.0,car,complexity,97.0,27854.0,1
106,6503088.0,car,monitoring,12.0,27854.0,1
107,6503088.0,car,reaction,35.0,27854.0,1
108,6503088.0,car,variety,39.0,27854.0,1
109,6503088.0,car,mistakes,27.0,27854.0,1
110,6503088.0,car,learning,0.0,27854.0,1
111,6503088.0,car,goal_directedness,4.0,27854.0,1
112,6503088.0,biological_virus,agency,27.0,37023.0,1
113,6503088.0,biological_virus,movement,16.0,37023.0,1
114,6503088.0,biological_virus,replication,35.0,37023.0,1
115,6503088.0,biological_virus,freewill,42.0,37023.0,1
116,6503088.0,biological_virus,energy,57.0,37023.0,1
117,6503088.0,biological_virus,communication,1.0,37023.0,1
118,6503088.0,biological_virus,goal_setting,16.0,37023.0,1
119,6503088.0,biological_virus,complexity,8.0,37023.0,1
120,6503088.0,biological_virus,monitoring,0.0,37023.0,1
121,6503088.0,biological_virus,reaction,49.0,37023.0,1
122,6503088.0,biological_virus,variety,20.0,37023.0,1
123,6503088.0,biological_virus,mistakes,0.0,37023.0,1
124,6503088.0,biological_virus,learning,20.0,37023.0,1
125,6503088.0,biological_virus,goal_directedness,26.0,37023.0,1
126,6503088.0,virtual_assistant,agency,50.0,48947.0,1
127,6503088.0,virtual_assistant,movement,2.0,48947.0,1
128,6503088.0,virtual_assistant,replication,2.0,48947.0,1
129,6503088.0,virtual_assistant,freewill,14.0,48947.0,1
130,6503088.0,virtual_assistant,energy,86.0,48947.0,1
131,6503088.0,virtual_assistant,communication,85.0,48947.0,1
132,6503088.0,virtual_assistant,goal_setting,19.0,48947.0,1
133,6503088.0,virtual_assistant,complexity,71.0,48947.0,1
134,6503088.0,virtual_assistant,monitoring,21.0,48947.0,1
135,6503088.0,virtual_assistant,reaction,41.0,48947.0,1
136,6503088.0,virtual_assistant,variety,42.0,48947.0,1
137,6503088.0,virtual_assistant,mistakes,65.0,48947.0,1
138,6503088.0,virtual_assistant,learning,32.0,48947.0,1
139,6503088.0,virtual_assistant,goal_directedness,41.0,48947.0,1
140,6503088.0,artificial_intelligence,agency,42.0,31699.0,1
141,6503088.0,artificial_intelligence,movement,41.0,31699.0,1
142,6503088.0,artificial_intelligence,replication,20.0,31699.0,1
143,6503088.0,artificial_intelligence,freewill,23.0,31699.0,1
144,6503088.0,artificial_intelligence,energy,97.0,31699.0,1
145,6503088.0,artificial_intelligence,communication,64.0,31699.0,1
146,6503088.0,artificial_intelligence,goal_setting,38.0,31699.0,1
147,6503088.0,artificial_intelligence,complexity,98.0,31699.0,1
148,6503088.0,artificial_intelligence,monitoring,64.0,31699.0,1
149,6503088.0,artificial_intelligence,reaction,61.0,31699.0,1
150,6503088.0,artificial_intelligence,variety,62.0,31699.0,1
151,6503088.0,artificial_intelligence,mistakes,81.0,31699.0,1
152,6503088.0,artificial_intelligence,learning,87.0,31699.0,1
153,6503088.0,artificial_intelligence,goal_directedness,43.0,31699.0,1
154,6503088.0,computer_virus,agency,41.0,30826.0,1
155,6503088.0,computer_virus,movement,37.0,30826.0,1
156,6503088.0,computer_virus,replication,60.0,30826.0,1
157,6503088.0,computer_virus,freewill,22.0,30826.0,1
158,6503088.0,computer_virus,energy,98.0,30826.0,1
159,6503088.0,computer_virus,communication,19.0,30826.0,1
160,6503088.0,computer_virus,goal_setting,22.0,30826.0,1
161,6503088.0,computer_virus,complexity,27.0,30826.0,1
162,6503088.0,computer_virus,monitoring,18.0,30826.0,1
163,6503088.0,computer_virus,reaction,39.0,30826.0,1
164,6503088.0,computer_virus,variety,22.0,30826.0,1
165,6503088.0,computer_virus,mistakes,48.0,30826.0,1
166,6503088.0,computer_virus,learning,42.0,30826.0,1
167,6503088.0,computer_virus,goal_directedness,50.0,30826.0,1
168,6503088.0,computer,agency,45.0,32125.0,1
