,part_id,word,reaction_time,slider_order,energy,complexity,movement,replication,communication,monitoring,reaction,variety,mistakes,learning,goal_setting,freewill,agency,goal_directedness
317,6503092.0,hammer,33248.0,4,13.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
320,6503091.0,human,46518.0,4,100.0,99.0,99.0,95.0,99.0,78.0,99.0,98.0,99.0,99.0,82.0,81.0,99.0,92.0
321,6503091.0,rock,27215.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
337,6503091.0,hammer,22428.0,4,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
340,6503097.0,human,77789.69999992847,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.0,100.0
341,6503097.0,rock,68006.89999997616,4,2.0,2.0,3.0,5.0,16.0,4.0,100.0,16.0,4.0,3.0,4.0,3.0,2.0,3.0
357,6503097.0,hammer,54725.79999995232,4,9.0,22.0,5.0,2.0,3.0,4.0,12.0,5.0,11.0,12.0,3.0,3.0,3.0,3.0
360,6503082.0,rock,210588.0,4,0.0,14.0,0.0,11.0,0.0,0.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
361,6503082.0,human,112420.0,4,100.0,100.0,89.0,91.0,89.0,91.0,100.0,100.0,100.0,100.0,94.0,93.0,94.0,94.0
377,6503082.0,hammer,48305.0,4,8.0,17.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
380,6503105.0,rock,59531.59999999998,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
381,6503105.0,human,42574.39999999991,4,100.0,99.0,99.0,99.0,98.0,98.0,97.0,99.0,98.0,98.0,97.0,98.0,98.0,98.0
397,6503105.0,hammer,29866.09999999986,4,1.0,4.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0
400,7039234.0,human,203663.0,5,100.0,100.0,100.0,100.0,100.0,82.0,100.0,100.0,100.0,95.0,73.0,65.0,86.0,70.0
401,7039234.0,rock,97010.0,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
417,7039234.0,hammer,72259.0,5,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,7039270.0,rock,55506.59999999404,5,0.0,28.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
421,7039270.0,human,152083.0,5,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
437,7039270.0,hammer,19519.30000001192,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
440,7039287.0,rock,48727.5,5,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,7039287.0,human,31016.59999999404,5,100.0,100.0,100.0,81.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,100.0,100.0
457,7039287.0,hammer,22786.59999999404,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
460,7039292.0,rock,39657.69999992848,5,5.0,72.0,0.0,0.0,1.0,1.0,99.0,35.0,2.0,2.0,2.0,1.0,1.0,3.0
461,7039292.0,human,37745.79999995232,5,98.0,98.0,97.0,97.0,97.0,98.0,80.0,97.0,100.0,100.0,98.0,98.0,80.0,100.0
477,7039292.0,hammer,20426.5,5,0.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0
480,7039300.0,rock,63406.5,5,73.0,16.0,12.0,2.0,2.0,2.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
481,7039300.0,human,42639.79999995232,5,80.0,100.0,100.0,100.0,98.0,100.0,45.0,100.0,97.0,99.0,100.0,97.0,100.0,99.0
497,7039300.0,hammer,242301.69999998808,5,10.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
500,7039311.0,human,98514.5,5,100.0,100.0,97.0,99.0,100.0,100.0,99.0,100.0,99.0,100.0,99.0,100.0,100.0,100.0
501,7039311.0,rock,33499.89999997616,5,70.0,88.0,0.0,44.0,0.0,0.0,97.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
517,7039311.0,hammer,26885.0,5,100.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
520,7039303.0,rock,78542.0,5,89.0,70.0,9.0,9.0,7.0,7.0,81.0,51.0,6.0,6.0,6.0,5.0,7.0,9.0
521,7039303.0,human,38668.0,5,75.0,75.0,75.0,74.0,89.0,87.0,82.0,59.0,90.0,90.0,91.0,63.0,65.0,85.0
537,7039303.0,hammer,31701.0,5,24.0,19.0,5.0,4.0,3.0,4.0,23.0,26.0,4.0,4.0,5.0,2.0,4.0,29.0
540,7039294.0,human,97015.79999995232,5,91.0,100.0,77.0,100.0,100.0,68.0,97.0,97.0,100.0,100.0,100.0,50.0,87.0,100.0
541,7039294.0,rock,71540.5,5,0.0,19.0,0.0,6.0,0.0,0.0,55.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
557,7039294.0,hammer,40687.59999990463,5,29.0,11.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
560,7039309.0,rock,202764.0,5,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,7039309.0,human,99665.0,5,95.0,97.0,95.0,88.0,100.0,97.0,100.0,96.0,100.0,99.0,100.0,96.0,96.0,97.0
577,7039309.0,hammer,38901.0,5,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,7039321.0,human,88670.59999999404,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
581,7039321.0,rock,31529.19999999553,5,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,7039321.0,hammer,29834.5,5,84.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
600,7039315.0,human,72208.79999995232,5,99.0,52.0,77.0,83.0,75.0,69.0,75.0,82.0,91.0,67.0,100.0,28.0,5.0,100.0
601,7039315.0,rock,46814.0,5,9.0,2.0,2.0,3.0,2.0,2.0,43.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0
617,7039315.0,hammer,33444.39999997616,5,3.0,2.0,1.0,0.0,5.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
620,7039323.0,human,134598.0,5,97.0,94.0,98.0,96.0,97.0,95.0,96.0,94.0,96.0,98.0,85.0,90.0,80.0,80.0
621,7039323.0,rock,46869.79999995232,5,11.0,12.0,2.0,3.0,5.0,5.0,54.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0
637,7039323.0,hammer,79871.40000009537,5,75.0,36.0,3.0,3.0,3.0,3.0,6.0,5.0,5.0,3.0,4.0,10.0,4.0,6.0
640,7039357.0,rock,34722.2999997139,5,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,7039357.0,human,47725.59999990463,5,100.0,100.0,100.0,48.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
657,7039357.0,hammer,14629.5,5,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,7039399.0,human,47077.79999999981,5,97.0,97.0,97.0,100.0,98.0,89.0,100.0,84.0,99.0,98.0,100.0,86.0,89.0,97.0
661,7039399.0,rock,35430.90000000037,5,13.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,7039399.0,hammer,19985.599999999627,5,35.0,12.0,0.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,0.0,1.0,1.0,1.0
680,7039526.0,rock,109771.30000001192,5,0.0,100.0,0.0,20.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
681,7039526.0,human,28412.5,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,97.0,100.0,100.0,100.0,48.0,100.0
697,7039526.0,hammer,26239.60000002384,5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
700,7039226.0,rock,145122.39999997616,6,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
