,part_id,word,reaction_time,slider_order,energy,complexity,movement,replication,communication,monitoring,reaction,variety,mistakes,learning,goal_setting,freewill,agency,goal_directedness
980,7039356.0,human,44662.59999990463,6,97.0,96.0,97.0,97.0,97.0,96.0,98.0,98.0,99.0,97.0,96.0,98.0,98.0,95.0
981,7039356.0,rock,36749.90000009537,6,9.0,58.0,0.0,1.0,0.0,2.0,47.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
997,7039356.0,hammer,20422.29999995232,6,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0
1000,7039805.0,human,45625.0,6,99.0,98.0,98.0,99.0,98.0,99.0,98.0,98.0,97.0,98.0,98.0,99.0,98.0,99.0
1001,7039805.0,rock,63993.09999996424,6,16.0,48.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
1017,7039805.0,hammer,32974.0,6,70.0,9.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0
1020,7039225.0,rock,35799.90000000596,7,0.0,11.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021,7039225.0,human,38640.0,7,100.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,92.0,87.0,95.0
1037,7039225.0,hammer,16014.5,7,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1040,7039277.0,human,41960.0,7,92.0,95.0,96.0,99.0,96.0,94.0,97.0,93.0,96.0,93.0,94.0,90.0,91.0,95.0
1041,7039277.0,rock,30416.0,7,26.0,13.0,0.0,39.0,3.0,3.0,18.0,4.0,1.0,3.0,3.0,2.0,1.0,4.0
1057,7039277.0,hammer,19918.0,7,71.0,21.0,3.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0
1060,7039293.0,human,53737.59999999404,7,98.0,98.0,48.0,47.0,51.0,98.0,97.0,99.0,98.0,97.0,98.0,100.0,49.0,49.0
1061,7039293.0,rock,46914.69999998808,7,1.0,11.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
1077,7039293.0,hammer,37622.5,7,0.0,11.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0
1080,7039289.0,human,228336.19999998808,7,99.0,97.0,97.0,100.0,99.0,99.0,99.0,98.0,98.0,99.0,100.0,97.0,45.0,98.0
1081,7039289.0,rock,27151.30000001192,7,4.0,0.0,2.0,3.0,2.0,4.0,40.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0
1097,7039289.0,hammer,21984.400000035763,7,4.0,42.0,1.0,1.0,1.0,4.0,4.0,44.0,2.0,1.0,4.0,2.0,3.0,3.0
1100,7039291.0,rock,88562.0,7,46.0,83.0,0.0,0.0,0.0,0.0,37.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,7039291.0,human,36973.0,7,98.0,100.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0
1117,7039291.0,hammer,30714.0,7,83.0,31.0,1.0,0.0,2.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,1.0,0.0
1120,7039310.0,rock,83610.09999999404,7,0.0,22.0,0.0,12.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,7039310.0,human,33025.20000000298,7,43.0,81.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,47.0,100.0
1137,7039310.0,hammer,22982.09999999404,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,0.0,0.0,0.0,0.0,32.0
1140,7039316.0,human,40995.79999999981,7,96.0,100.0,100.0,96.0,96.0,97.0,97.0,97.0,93.0,98.0,94.0,99.0,96.0,99.0
1141,7039316.0,rock,33755.700000000186,7,2.0,19.0,4.0,3.0,0.0,2.0,5.0,4.0,2.0,2.0,2.0,0.0,1.0,4.0
1157,7039316.0,hammer,21316.30000000028,7,70.0,4.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0
1160,7039273.0,human,59447.90000000037,7,97.0,88.0,85.0,98.0,97.0,99.0,74.0,67.0,98.0,94.0,92.0,84.0,1.0,91.0
1161,7039273.0,rock,32501.70000000112,7,1.0,46.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1177,7039273.0,hammer,49387.5,7,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1180,7039325.0,human,65117.39999999851,7,91.0,92.0,76.0,83.0,89.0,89.0,81.0,89.0,92.0,92.0,98.0,80.0,42.0,90.0
1181,7039325.0,rock,45310.39999999851,7,84.0,19.0,6.0,72.0,4.0,4.0,89.0,72.0,4.0,2.0,3.0,5.0,5.0,4.0
1197,7039325.0,hammer,24703.30000000447,7,1.0,2.0,0.0,1.0,2.0,5.0,3.0,1.0,2.0,3.0,6.0,5.0,7.0,7.0
1200,7039339.0,human,41533.30000001192,7,100.0,99.0,100.0,100.0,96.0,92.0,90.0,97.0,100.0,98.0,98.0,85.0,86.0,96.0
1201,7039339.0,rock,38204.69999998808,7,60.0,50.0,4.0,11.0,6.0,7.0,40.0,6.0,6.0,7.0,5.0,7.0,4.0,7.0
1217,7039339.0,hammer,22761.10000002384,7,20.0,8.0,8.0,8.0,10.0,11.0,7.0,11.0,14.0,11.0,13.0,9.0,55.0,80.0
1220,7039348.0,human,61159.70000000298,7,98.0,99.0,97.0,69.0,98.0,96.0,90.0,100.0,99.0,99.0,85.0,98.0,83.0,88.0
