,mean_score,score_std,win_prob,win_prob_std,reaction_time_mean,reaction_time_std,sense_prob,sense_std
jelly_fish,-0.9030501089324621,1.6289921505759055,0.3039215686274508,0.38239929515004745,7346.157516338227,6050.222149629646,0.7222222222222219,0.23785477564188687
human,1.4847494553376896,1.5030125833320744,0.8115468409586051,0.2988972291015007,23423.96111111384,53666.336760826365,0.8932461873638337,0.1640977446765478
artificial_intelligence,0.7919389978213505,1.734501285155543,0.6949891067538124,0.39927436239058056,8832.546840959101,8733.441444014474,0.8366013071895422,0.19699961333860436
virus,-0.06862745098039212,1.6919451907252567,0.48801742919389984,0.43365917315164904,8889.559259256963,9429.17704502034,0.7222222222222219,0.24718238573644705
rock,-1.7843137254901962,1.0618936905558531,0.10457516339869277,0.1858698938927843,9148.864270150487,11194.439024103503,0.7091503267973855,0.23622688810650838
robot,-0.007625272331154696,1.9656381853777625,0.5087145969498911,0.4897020183826084,8207.505991285183,7504.693987467969,0.8246187363834419,0.22236439276396655
chimpanzee,-0.07516339869281041,1.8307813641621118,0.4891067538126363,0.4459258322329493,23064.525163397822,52914.14575182621,0.8071895424836599,0.23912656584226977
god,0.5413943355119827,1.1964956026086162,0.5849673202614378,0.28393716537445746,8465.968300657401,8696.264842696486,0.7352941176470589,0.244385234253637
autonomous_car,-0.12962962962962962,1.8693498588470985,0.4814814814814817,0.4604522767071556,7618.042810457286,6281.659134497234,0.7755991285403049,0.23454377231020437
computer,0.15032679738562088,1.937350214768323,0.5326797385620914,0.4673455423386851,8160.970479305091,7695.000505666894,0.812636165577342,0.22779118359848913
