Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
3,1642616226905,19/01/2022 18:17:06,1642616168046,2,19/01/2022 20:16:08,70408,19,questionnaire-hy6v,,18653147,6141bdf9ebdc730adcc8d332,5521548,,complete,,61e855416d3266ebd1c97e8f,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1098x618,1082x545,,Consent form,3,No,END QUESTIONNAIRE,64815
1,1642616169995,19/01/2022 18:16:09,1642616169710,-6,19/01/2022 12:16:09,70408,19,questionnaire-hy6v,,18653151,6175b756491e339b289ca959,5521551,,complete,,61e8555d40c3a71520b545f7,computer,Desktop or Laptop,Windows 10,Firefox 96.0,1920x1080,1920x967,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616200609,19/01/2022 18:16:40,1642616200373,-6,19/01/2022 12:16:40,70408,19,questionnaire-hy6v,,18653151,6175b756491e339b289ca959,5521551,,complete,,61e8555d40c3a71520b545f7,computer,Desktop or Laptop,Windows 10,Firefox 96.0,1920x1080,1903x967,,Consent form,3,No,ConsentFlag,1
3,1642616200761,19/01/2022 18:16:40,1642616200375,-6,19/01/2022 12:16:40,70408,19,questionnaire-hy6v,,18653151,6175b756491e339b289ca959,5521551,,complete,,61e8555d40c3a71520b545f7,computer,Desktop or Laptop,Windows 10,Firefox 96.0,1920x1080,1903x967,,Consent form,3,No,END QUESTIONNAIRE,30665
1,1642616174381,19/01/2022 18:16:14,1642616171292,2,19/01/2022 20:16:11,70408,19,questionnaire-hy6v,,18653154,60ad33772c5d282d6a2021e8,5521552,,complete,,61e8554924f9b2bbee488cf9,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616203705,19/01/2022 18:16:43,1642616200640,2,19/01/2022 20:16:40,70408,19,questionnaire-hy6v,,18653154,60ad33772c5d282d6a2021e8,5521552,,complete,,61e8554924f9b2bbee488cf9,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,,Consent form,3,No,ConsentFlag,1
3,1642616203948,19/01/2022 18:16:43,1642616200642,2,19/01/2022 20:16:40,70408,19,questionnaire-hy6v,,18653154,60ad33772c5d282d6a2021e8,5521552,,complete,,61e8554924f9b2bbee488cf9,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x820,,Consent form,3,No,END QUESTIONNAIRE,29350
1,1642616191590,19/01/2022 18:16:31,1642616191378,2,19/01/2022 20:16:31,70408,19,questionnaire-hy6v,,18653157,6131cf33d4b5c450b104ca9e,5521554,,complete,,61e85537223726ba66f865c9,mobile,Apple iPhone,iOS 15.0.2,Mobile Safari 15.0,375x667,375x548,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616223093,19/01/2022 18:17:03,1642616222922,2,19/01/2022 20:17:02,70408,19,questionnaire-hy6v,,18653157,6131cf33d4b5c450b104ca9e,5521554,,complete,,61e85537223726ba66f865c9,mobile,Apple iPhone,iOS 15.0.2,Mobile Safari 15.0,375x667,375x548,,Consent form,3,No,ConsentFlag,1
3,1642616223516,19/01/2022 18:17:03,1642616222926,2,19/01/2022 20:17:02,70408,19,questionnaire-hy6v,,18653157,6131cf33d4b5c450b104ca9e,5521554,,complete,,61e85537223726ba66f865c9,mobile,Apple iPhone,iOS 15.0.2,Mobile Safari 15.0,375x667,375x548,,Consent form,3,No,END QUESTIONNAIRE,31548
1,1642616190901,19/01/2022 18:16:30,1642616190751,-7,19/01/2022 11:16:30,70408,19,questionnaire-hy6v,,18653171,613eba54614a8826b829b734,5521560,,complete,,61e8552e91d4c8419aa3dd37,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x657,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616233887,19/01/2022 18:17:13,1642616233264,-7,19/01/2022 11:17:13,70408,19,questionnaire-hy6v,,18653171,613eba54614a8826b829b734,5521560,,complete,,61e8552e91d4c8419aa3dd37,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x657,,Consent form,3,No,ConsentFlag,1
3,1642616234103,19/01/2022 18:17:14,1642616233272,-7,19/01/2022 11:17:13,70408,19,questionnaire-hy6v,,18653171,613eba54614a8826b829b734,5521560,,complete,,61e8552e91d4c8419aa3dd37,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x657,,Consent form,3,No,END QUESTIONNAIRE,42521
