part_id,word,robot,rock,artificial_intelligence,chimpanzee,jelly_fish,virus,human,god,autonomous_car,computer
6265199.0,robot,,4187.0,3614.400000002235,3479.300000000745,8243.699999999255,2625.29999999702,4437.199999999255,3814.20000000298,4603.800000000745,7347.599999997765
6265199.0,rock,4187.0,,6129.60000000149,5327.699999999255,2758.0,2371.0,2292.20000000298,13488.39999999851,5706.300000000745,5761.699999999255
6265199.0,artificial_intelligence,3614.400000002235,6129.60000000149,,2155.900000002235,3667.10000000149,11302.89999999851,5266.800000000745,4450.70000000298,3725.89999999851,8783.5
6265199.0,chimpanzee,3479.300000000745,5327.699999999255,2155.900000002235,,5551.0,6301.300000000745,5756.300000000745,2567.400000002235,5011.699999999255,3300.400000002235
6265199.0,jelly_fish,8243.699999999255,2758.0,3667.10000000149,5551.0,,4966.0,3539.60000000149,2707.20000000298,6343.099999997765,5738.900000002235
6265199.0,virus,2625.29999999702,2371.0,11302.89999999851,6301.300000000745,4966.0,,4743.800000000745,3027.699999999255,2883.0,3729.79999999702
6265199.0,human,4437.199999999255,2292.20000000298,5266.800000000745,5756.300000000745,3539.60000000149,4743.800000000745,,3001.800000000745,2663.0,2279.0
6265199.0,god,3814.20000000298,13488.39999999851,4450.70000000298,2567.400000002235,2707.20000000298,3027.699999999255,3001.800000000745,,3490.800000000745,2991.0
6265199.0,autonomous_car,4603.800000000745,5706.300000000745,3725.89999999851,5011.699999999255,6343.099999997765,2883.0,2663.0,3490.800000000745,,3081.10000000149
6265199.0,computer,7347.599999997765,5761.699999999255,8783.5,3300.400000002235,5738.900000002235,3729.79999999702,2279.0,2991.0,3081.10000000149,
6265200.0,robot,,18642.69999999925,14061.0,6924.0,1970.4000000022352,1471.89999999851,2071.099999997765,1925.9000000022352,1422.39999999851,1824.199999999255
6265200.0,rock,18642.69999999925,,35186.099999997765,1879.0999999977648,5703.300000000745,49591.40000000224,1719.9000000022352,1889.300000000745,3596.39999999851,51896.599999997765
6265200.0,artificial_intelligence,14061.0,35186.099999997765,,2175.89999999851,1452.0,32654.89999999851,2382.599999997765,2282.79999999702,1497.4000000022352,1545.9000000022352
6265200.0,chimpanzee,6924.0,1879.0999999977648,2175.89999999851,,2214.900000002235,1960.300000000745,2944.099999997765,1436.5,1791.60000000149,22604.39999999851
6265200.0,jelly_fish,1970.4000000022352,5703.300000000745,1452.0,2214.900000002235,,2725.199999999255,1714.10000000149,1518.9000000022352,7314.39999999851,1269.300000000745
6265200.0,virus,1471.89999999851,49591.40000000224,32654.89999999851,1960.300000000745,2725.199999999255,,1754.0999999977648,2260.10000000149,2013.5,7539.699999999255
6265200.0,human,2071.099999997765,1719.9000000022352,2382.599999997765,2944.099999997765,1714.10000000149,1754.0999999977648,,1855.5,7464.199999999255,2185.599999997765
6265200.0,god,1925.9000000022352,1889.300000000745,2282.79999999702,1436.5,1518.9000000022352,2260.10000000149,1855.5,,3018.699999999255,1500.10000000149
6265200.0,autonomous_car,1422.39999999851,3596.39999999851,1497.4000000022352,1791.60000000149,7314.39999999851,2013.5,7464.199999999255,3018.699999999255,,2474.599999997765
6265200.0,computer,1824.199999999255,51896.599999997765,1545.9000000022352,22604.39999999851,1269.300000000745,7539.699999999255,2185.599999997765,1500.10000000149,2474.599999997765,
6265201.0,robot,,5087.0,8421.900000095367,17975.39999985695,3962.599999904633,6933.800000190735,3792.599999904633,3277.7999999523163,5291.199999809265,6072.700000047684
6265201.0,rock,5087.0,,5022.0,3682.599999904633,7335.0,9926.700000047684,10493.200000047684,6860.299999952316,24552.900000095367,25622.79999995232
6265201.0,artificial_intelligence,8421.900000095367,5022.0,,8857.600000143051,6082.0,7568.5,3432.600000143051,6543.599999904633,5306.900000095367,6581.700000047684
6265201.0,chimpanzee,17975.39999985695,3682.599999904633,8857.600000143051,,33267.09999990463,14631.700000047684,5992.0,5572.100000143051,3584.699999809265,10355.200000047684
6265201.0,jelly_fish,3962.599999904633,7335.0,6082.0,33267.09999990463,,7035.299999952316,6788.5,4368.699999809265,10078.799999952316,5100.099999904633
6265201.0,virus,6933.800000190735,9926.700000047684,7568.5,14631.700000047684,7035.299999952316,,7349.200000047684,9841.600000143051,4442.700000047684,13515.099999904633
6265201.0,human,3792.599999904633,10493.200000047684,3432.600000143051,5992.0,6788.5,7349.200000047684,,21313.700000047684,12452.799999952316,4155.399999856949
6265201.0,god,3277.7999999523163,6860.299999952316,6543.599999904633,5572.100000143051,4368.699999809265,9841.600000143051,21313.700000047684,,7594.400000095367,3935.799999952316
6265201.0,autonomous_car,5291.199999809265,24552.900000095367,5306.900000095367,3584.699999809265,10078.799999952316,4442.700000047684,12452.799999952316,7594.400000095367,,23956.699999809265
6265201.0,computer,6072.700000047684,25622.79999995232,6581.700000047684,10355.200000047684,5100.099999904633,13515.099999904633,4155.399999856949,3935.799999952316,23956.699999809265,
6265213.0,robot,,2410.0,8875.0,2945.0,2979.0,3997.0,3140.0,1864.0,4399.0,4481.0
6265213.0,rock,2410.0,,2761.0,2059.0,1961.0,6397.0,2040.0,1559.0,2395.0,3071.0
6265213.0,artificial_intelligence,8875.0,2761.0,,6602.0,2064.0,3453.0,6428.0,2157.0,2205.0,5029.0
6265213.0,chimpanzee,2945.0,2059.0,6602.0,,1678.0,2091.0,2451.0,1502.0,1869.0,2617.0
6265213.0,jelly_fish,2979.0,1961.0,2064.0,1678.0,,3396.0,3772.0,1920.0,3196.0,2491.0
6265213.0,virus,3997.0,6397.0,3453.0,2091.0,3396.0,,2996.0,2009.0,1913.0,1629.0
