,robot,rock,artificial_intelligence,chimpanzee,jelly_fish,virus,human,god,autonomous_car,computer
robot,,-2.539473684210526,0.9868421052631579,-0.4473684210526316,-1.3157894736842106,-0.3684210526315789,1.4473684210526316,0.0,-0.9736842105263158,0.4342105263157895
rock,2.539473684210526,,2.3815789473684212,2.4342105263157894,1.9342105263157894,2.3026315789473686,2.8026315789473686,1.5526315789473684,2.263157894736842,2.486842105263158
artificial_intelligence,-0.9868421052631579,-2.3815789473684212,,-0.6052631578947368,-1.6710526315789473,-0.8947368421052632,1.013157894736842,-0.40789473684210525,-1.9473684210526316,-0.9473684210526315
chimpanzee,0.4473684210526316,-2.4342105263157894,0.6052631578947368,,-2.1052631578947367,-0.35526315789473684,1.9605263157894737,0.06578947368421052,-0.15789473684210525,0.7105263157894737
jelly_fish,1.3157894736842106,-1.9342105263157894,1.6710526315789473,2.1052631578947367,,1.25,2.6052631578947367,0.47368421052631576,1.0394736842105263,1.368421052631579
virus,0.3684210526315789,-2.3026315789473686,0.8947368421052632,0.35526315789473684,-1.25,,1.75,0.07894736842105263,-0.2894736842105263,0.3157894736842105
human,-1.4473684210526316,-2.8026315789473686,-1.013157894736842,-1.9605263157894737,-2.6052631578947367,-1.75,,-0.7105263157894737,-2.0657894736842106,-1.3026315789473684
god,0.0,-1.5526315789473684,0.40789473684210525,-0.06578947368421052,-0.47368421052631576,-0.07894736842105263,0.7105263157894737,,-0.32894736842105265,-0.05263157894736842
autonomous_car,0.9736842105263158,-2.263157894736842,1.9473684210526316,0.15789473684210525,-1.0394736842105263,0.2894736842105263,2.0657894736842106,0.32894736842105265,,1.4605263157894737
computer,-0.4342105263157895,-2.486842105263158,0.9473684210526315,-0.7105263157894737,-1.368421052631579,-0.3157894736842105,1.3026315789473684,0.05263157894736842,-1.4605263157894737,
