,chimpanzee,jelly_fish,autonomous_car,virus,human,robot,rock,artificial_intelligence,god,computer
chimpanzee,,-1.5769230769230769,-0.038461538461538464,-0.28846153846153844,1.7884615384615385,-0.23076923076923078,-1.9230769230769231,0.5576923076923077,0.8461538461538461,0.40384615384615385
jelly_fish,1.5769230769230769,,0.6346153846153846,0.4230769230769231,2.4615384615384617,0.8846153846153846,-1.3076923076923077,0.8076923076923077,1.4038461538461537,0.9615384615384616
autonomous_car,0.038461538461538464,-0.6346153846153846,,-0.057692307692307696,1.6730769230769231,0.17307692307692307,-1.8076923076923077,1.0384615384615385,0.5384615384615384,0.5576923076923077
virus,0.28846153846153844,-0.4230769230769231,0.057692307692307696,,1.5384615384615385,0.11538461538461539,-1.7307692307692308,0.4807692307692308,0.6730769230769231,0.09615384615384616
human,-1.7884615384615385,-2.4615384615384617,-1.6730769230769231,-1.5384615384615385,,-1.5,-2.6346153846153846,-1.5576923076923077,-0.9230769230769231,-1.3653846153846154
robot,0.23076923076923078,-0.8846153846153846,-0.17307692307692307,-0.11538461538461539,1.5,,-1.8846153846153846,0.9230769230769231,0.5192307692307693,0.15384615384615385
rock,1.9230769230769231,1.3076923076923077,1.8076923076923077,1.7307692307692308,2.6346153846153846,1.8846153846153846,,2.0384615384615383,1.4038461538461537,2.1538461538461537
artificial_intelligence,-0.5576923076923077,-0.8076923076923077,-1.0384615384615385,-0.4807692307692308,1.5576923076923077,-0.9230769230769231,-2.0384615384615383,,0.17307692307692307,-0.8269230769230769
god,-0.8461538461538461,-1.4038461538461537,-0.5384615384615384,-0.6730769230769231,0.9230769230769231,-0.5192307692307693,-1.4038461538461537,-0.17307692307692307,,-0.4807692307692308
computer,-0.40384615384615385,-0.9615384615384616,-0.5576923076923077,-0.09615384615384616,1.3653846153846154,-0.15384615384615385,-2.1538461538461537,0.8269230769230769,0.4807692307692308,
