part_id,word,jelly_fish,robot,virus,chimpanzee,human,artificial_intelligence,god,rock,autonomous_car,computer
6136156.0,jelly_fish,,-2.0,-3.0,3.0,2.0,3.0,-2.0,-2.0,2.0,2.0
6136156.0,robot,2.0,,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0
6136156.0,virus,3.0,2.0,,-2.0,2.0,2.0,-2.0,-2.0,2.0,-3.0
6136156.0,chimpanzee,-3.0,2.0,2.0,,3.0,2.0,2.0,-2.0,-2.0,-2.0
6136156.0,human,-2.0,2.0,-2.0,-3.0,,3.0,-3.0,-2.0,-3.0,-3.0
6136156.0,artificial_intelligence,-3.0,-2.0,-2.0,-2.0,-3.0,,-2.0,-3.0,-2.0,-2.0
6136156.0,god,2.0,-2.0,2.0,-2.0,3.0,2.0,,-3.0,2.0,2.0
6136156.0,rock,2.0,-2.0,2.0,2.0,2.0,3.0,3.0,,2.0,2.0
6136156.0,autonomous_car,-2.0,-2.0,-2.0,2.0,3.0,2.0,-2.0,-2.0,,-2.0
6136156.0,computer,-2.0,-2.0,3.0,2.0,3.0,2.0,-2.0,-2.0,2.0,
6136158.0,jelly_fish,,-2.0,-2.0,2.0,3.0,-3.0,1.0,-2.0,-2.0,-2.0
6136158.0,robot,2.0,,2.0,3.0,3.0,1.0,3.0,-2.0,2.0,-2.0
6136158.0,virus,2.0,-2.0,,2.0,3.0,-2.0,2.0,-2.0,-2.0,-2.0
6136158.0,chimpanzee,-2.0,-3.0,-2.0,,2.0,-2.0,1.0,-2.0,-2.0,-3.0
6136158.0,human,-3.0,-3.0,-3.0,-2.0,,-3.0,1.0,-3.0,-3.0,-3.0
6136158.0,artificial_intelligence,3.0,-1.0,2.0,2.0,3.0,,2.0,-2.0,-2.0,-2.0
6136158.0,god,-1.0,-3.0,-2.0,-1.0,-1.0,-2.0,,-2.0,-2.0,-2.0
6136158.0,rock,2.0,2.0,2.0,2.0,3.0,2.0,2.0,,1.0,2.0
6136158.0,autonomous_car,2.0,-2.0,2.0,2.0,3.0,2.0,2.0,-1.0,,-2.0
6136158.0,computer,2.0,2.0,2.0,3.0,3.0,2.0,2.0,-2.0,2.0,
6136154.0,jelly_fish,,1.0,1.0,3.0,3.0,3.0,3.0,-3.0,-3.0,-3.0
6136154.0,robot,-1.0,,-2.0,2.0,2.0,2.0,3.0,-3.0,-2.0,-2.0
6136154.0,virus,-1.0,2.0,,2.0,2.0,1.0,3.0,-3.0,-2.0,-2.0
6136154.0,chimpanzee,-3.0,-2.0,-2.0,,3.0,2.0,3.0,-3.0,-3.0,-3.0
6136154.0,human,-3.0,-2.0,-2.0,-3.0,,-1.0,3.0,-3.0,-3.0,-3.0
6136154.0,artificial_intelligence,-3.0,-2.0,-1.0,-2.0,1.0,,3.0,-3.0,-2.0,-3.0
6136154.0,god,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0
6136154.0,rock,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0
6136154.0,autonomous_car,3.0,2.0,2.0,3.0,3.0,2.0,3.0,-3.0,,-2.0
6136154.0,computer,3.0,2.0,2.0,3.0,3.0,3.0,3.0,-3.0,2.0,
6136170.0,jelly_fish,,-1.0,2.0,-1.0,-1.0,2.0,-1.0,1.0,-1.0,1.0
6136170.0,robot,1.0,,2.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
6136170.0,virus,-2.0,-2.0,,-3.0,-3.0,-1.0,-2.0,-2.0,-2.0,-2.0
6136170.0,chimpanzee,1.0,-2.0,3.0,,1.0,2.0,-1.0,-1.0,-2.0,1.0
6136170.0,human,1.0,-1.0,3.0,-1.0,,2.0,-1.0,-2.0,-1.0,-1.0
6136170.0,artificial_intelligence,-2.0,-1.0,1.0,-2.0,-2.0,,-3.0,-3.0,-1.0,-2.0
6136170.0,god,1.0,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,1.0
6136170.0,rock,-1.0,1.0,2.0,1.0,2.0,3.0,-1.0,,-2.0,1.0
6136170.0,autonomous_car,1.0,1.0,2.0,2.0,1.0,1.0,-1.0,2.0,,1.0
6136170.0,computer,-1.0,-1.0,2.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,
6136164.0,jelly_fish,,-2.0,-1.0,-2.0,3.0,-1.0,2.0,3.0,-3.0,-3.0
6136164.0,robot,2.0,,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0
6136164.0,virus,1.0,-2.0,,1.0,2.0,-2.0,-1.0,3.0,1.0,-3.0
6136164.0,chimpanzee,2.0,-2.0,-1.0,,1.0,-2.0,-1.0,2.0,-3.0,-3.0
6136164.0,human,-3.0,-3.0,-2.0,-1.0,,-2.0,1.0,2.0,-3.0,-2.0
6136164.0,artificial_intelligence,1.0,-1.0,2.0,2.0,2.0,,2.0,3.0,-1.0,1.0
6136164.0,god,-2.0,-2.0,1.0,1.0,-1.0,-2.0,,-3.0,-2.0,1.0
6136164.0,rock,-3.0,-2.0,-3.0,-2.0,-2.0,-3.0,3.0,,-1.0,-2.0
6136164.0,autonomous_car,3.0,-1.0,-1.0,3.0,3.0,1.0,2.0,1.0,,2.0
6136164.0,computer,3.0,-1.0,3.0,3.0,2.0,-1.0,-1.0,2.0,-2.0,
6136171.0,jelly_fish,,-3.0,-3.0,-2.0,-1.0,-2.0,1.0,-1.0,-2.0,-2.0
6136171.0,robot,3.0,,-1.0,3.0,2.0,1.0,2.0,1.0,-2.0,-2.0
6136171.0,virus,3.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0
6136171.0,chimpanzee,2.0,-3.0,-2.0,,-2.0,-2.0,1.0,-1.0,-1.0,-3.0
6136171.0,human,1.0,-2.0,-2.0,2.0,,-2.0,3.0,-1.0,-2.0,-2.0
6136171.0,artificial_intelligence,2.0,-1.0,-2.0,2.0,2.0,,2.0,2.0,1.0,-1.0
6136171.0,god,-1.0,-2.0,-2.0,-1.0,-3.0,-2.0,,-1.0,-2.0,-2.0
6136171.0,rock,1.0,-1.0,-1.0,1.0,1.0,-2.0,1.0,,-2.0,-2.0
6136171.0,autonomous_car,2.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,,-2.0
