part_id,word,jelly_fish,robot,virus,chimpanzee,human,artificial_intelligence,god,rock,autonomous_car,computer
6136142.0,jelly_fish,,2979.2999999523163,6257.5,9593.800000071526,2899.0,4997.400000095367,4609.800000071526,2675.100000023842,2772.9000000953674,8330.600000023842
6136142.0,robot,2979.2999999523163,,7558.899999976158,4202.5,3762.600000023842,2958.3000000715256,3282.399999976158,5705.600000023842,8945.299999952316,14367.0
6136142.0,virus,6257.5,7558.899999976158,,2837.700000047684,1839.899999976158,3171.600000023842,2824.0,5526.899999976158,8418.599999904633,2471.200000047684
6136142.0,chimpanzee,9593.800000071526,4202.5,2837.700000047684,,3369.1999999284744,4535.799999952316,8833.600000023842,3110.8000000715256,3391.200000047684,4300.200000047684
6136142.0,human,2899.0,3762.600000023842,1839.899999976158,3369.1999999284744,,10875.600000023842,4097.799999952316,3210.399999976158,3243.2999999523163,10384.399999976158
6136142.0,artificial_intelligence,4997.400000095367,2958.3000000715256,3171.600000023842,4535.799999952316,10875.600000023842,,2722.0,2784.1999999284744,2308.4000000953674,11492.900000095367
6136142.0,god,4609.800000071526,3282.399999976158,2824.0,8833.600000023842,4097.799999952316,2722.0,,2754.200000047684,2111.399999976158,2322.5
6136142.0,rock,2675.100000023842,5705.600000023842,5526.899999976158,3110.8000000715256,3210.399999976158,2784.1999999284744,2754.200000047684,,6373.200000047684,3239.100000023842
6136142.0,autonomous_car,2772.9000000953674,8945.299999952316,8418.599999904633,3391.200000047684,3243.2999999523163,2308.4000000953674,2111.399999976158,6373.200000047684,,2681.8000000715256
6136142.0,computer,8330.600000023842,14367.0,2471.200000047684,4300.200000047684,10384.399999976158,11492.900000095367,2322.5,3239.100000023842,2681.8000000715256,
6136145.0,jelly_fish,,2952.2999999523163,277204.2999999523,2365.8000000715256,2533.100000023842,3489.2999999523163,2533.0,2697.5,3795.200000047684,3155.9000000953674
6136145.0,robot,2952.2999999523163,,2744.399999976158,2826.0,2471.1999999284744,3403.899999976158,2549.5,7754.299999952316,2586.5,2538.399999976158
6136145.0,virus,277204.2999999523,2744.399999976158,,2432.1999999284744,3842.200000047684,2243.399999976158,2580.899999976158,2733.899999976158,8008.100000023842,2564.5
6136145.0,chimpanzee,2365.8000000715256,2826.0,2432.1999999284744,,2689.7999999523163,4708.599999904633,2533.5,6699.200000047684,2604.399999976158,2364.0
6136145.0,human,2533.100000023842,2471.1999999284744,3842.200000047684,2689.7999999523163,,2627.0,7770.099999904633,2376.0,2649.399999976158,2762.700000047684
6136145.0,artificial_intelligence,3489.2999999523163,3403.899999976158,2243.399999976158,4708.599999904633,2627.0,,5058.300000071526,2687.0,2896.099999904633,5965.299999952316
6136145.0,god,2533.0,2549.5,2580.899999976158,2533.5,7770.099999904633,5058.300000071526,,2430.100000023842,2441.7999999523163,3495.600000023842
6136145.0,rock,2697.5,7754.299999952316,2733.899999976158,6699.200000047684,2376.0,2687.0,2430.100000023842,,2678.599999904633,3154.1999999284744
6136145.0,autonomous_car,3795.200000047684,2586.5,8008.100000023842,2604.399999976158,2649.399999976158,2896.099999904633,2441.7999999523163,2678.599999904633,,11607.399999976158
6136145.0,computer,3155.9000000953674,2538.399999976158,2564.5,2364.0,2762.700000047684,5965.299999952316,3495.600000023842,3154.1999999284744,11607.399999976158,
6136146.0,jelly_fish,,5507.999999999971,3247.0,7564.0,2063.999999999971,2956.0000000000146,2537.0,1817.999999999971,6531.999999999971,2378.0
6136146.0,robot,5507.999999999971,,2771.0,2732.0,3498.0,14945.0,1792.9999999999854,8348.0,2182.0,4554.0
6136146.0,virus,3247.0,2771.0,,1943.0,2993.0,3152.0,3019.0,2522.999999999971,3567.0,5222.000000000015
6136146.0,chimpanzee,7564.0,2732.0,1943.0,,2888.999999999985,4249.0,4731.0,5367.0,4058.999999999971,3255.0
6136146.0,human,2063.999999999971,3498.0,2993.0,2888.999999999985,,3801.0,3949.0,3008.0,1514.999999999971,2200.0
6136146.0,artificial_intelligence,2956.0000000000146,14945.0,3152.0,4249.0,3801.0,,6514.0,2522.0,3436.999999999971,2322.0
6136146.0,god,2537.0,1792.9999999999854,3019.0,4731.0,3949.0,6514.0,,6474.0,2804.999999999971,2585.0
6136146.0,rock,1817.999999999971,8348.0,2522.999999999971,5367.0,3008.0,2522.0,6474.0,,2460.0000000000146,3316.999999999985
6136146.0,autonomous_car,6531.999999999971,2182.0,3567.0,4058.999999999971,1514.999999999971,3436.999999999971,2804.999999999971,2460.0000000000146,,6072.999999999985
6136146.0,computer,2378.0,4554.0,5222.000000000015,3255.0,2200.0,2322.0,2585.0,3316.999999999985,6072.999999999985,
6136153.0,jelly_fish,,4221.300000071526,6405.5,4247.199999928474,4831.799999952316,7527.399999976158,4329.0,3458.399999976158,4483.0,20440.200000047684
6136153.0,robot,4221.300000071526,,5966.399999976158,3872.600000023842,3391.200000047684,3844.8000000715256,3037.1999999284744,3738.6999999284735,4915.100000023842,5170.200000047684
6136153.0,virus,6405.5,5966.399999976158,,4438.200000047684,4585.900000095367,3581.1999999284744,6981.800000071526,4944.899999976158,4097.899999976158,3205.100000023842
6136153.0,chimpanzee,4247.199999928474,3872.600000023842,4438.200000047684,,4356.300000071526,4189.100000023842,3591.2999999523163,4707.900000095367,3380.099999904633,8098.600000023842
6136153.0,human,4831.799999952316,3391.200000047684,4585.900000095367,4356.300000071526,,5237.100000023842,9017.299999952316,4649.100000023842,3783.3000000715256,3019.0
6136153.0,artificial_intelligence,7527.399999976158,3844.8000000715256,3581.1999999284744,4189.100000023842,5237.100000023842,,8001.800000071526,12713.600000023842,6236.299999952316,4586.700000047684
6136153.0,god,4329.0,3037.1999999284744,6981.800000071526,3591.2999999523163,9017.299999952316,8001.800000071526,,3232.200000047684,6528.800000071526,3561.2999999523163
6136153.0,rock,3458.399999976158,3738.6999999284735,4944.899999976158,4707.900000095367,4649.100000023842,12713.600000023842,3232.200000047684,,16530.300000071526,9579.400000095367
6136153.0,autonomous_car,4483.0,4915.100000023842,4097.899999976158,3380.099999904633,3783.3000000715256,6236.299999952316,6528.800000071526,16530.300000071526,,5818.199999928474
6136153.0,computer,20440.200000047684,5170.200000047684,3205.100000023842,8098.600000023842,3019.0,4586.700000047684,3561.2999999523163,9579.400000095367,5818.199999928474,
6136151.0,jelly_fish,,3228.200000047684,3597.5,4095.600000023842,21794.0,2600.5,3328.899999976158,5194.599999904633,2054.700000047684,4208.0
6136151.0,robot,3228.200000047684,,2136.100000023842,2288.599999904633,2589.5,4277.399999976158,2101.600000023842,4285.5,13012.799999952316,4603.0
6136151.0,virus,3597.5,2136.100000023842,,5566.0,4896.800000071526,7748.600000023842,2175.0,3477.1999999284744,2372.200000047684,8633.0
6136151.0,chimpanzee,4095.600000023842,2288.599999904633,5566.0,,2579.899999976158,3387.6999999284744,6689.799999952316,3200.899999976158,2910.5,2636.0
6136151.0,human,21794.0,2589.5,4896.800000071526,2579.899999976158,,4188.0,1862.0,1918.0,1726.899999976158,8804.899999976158
6136151.0,artificial_intelligence,2600.5,4277.399999976158,7748.600000023842,3387.6999999284744,4188.0,,5406.200000047684,5019.0,6844.200000047684,4763.0
6136151.0,god,3328.899999976158,2101.600000023842,2175.0,6689.799999952316,1862.0,5406.200000047684,,2936.0,2345.0,2585.5
6136151.0,rock,5194.599999904633,4285.5,3477.1999999284744,3200.899999976158,1918.0,5019.0,2936.0,,5716.799999952316,9528.200000047684
6136151.0,autonomous_car,2054.700000047684,13012.799999952316,2372.200000047684,2910.5,1726.899999976158,6844.200000047684,2345.0,5716.799999952316,,6673.5
6136151.0,computer,4208.0,4603.0,8633.0,2636.0,8804.899999976158,4763.0,2585.5,9528.200000047684,6673.5,
6136160.0,jelly_fish,,4235.5,5564.5,7280.299999952316,5038.0,4329.899999976158,6822.700000047684,4141.100000023842,6344.800000071526,7287.100000023842
6136160.0,robot,4235.5,,4771.799999952316,6036.5,3784.0,3701.099999904633,4104.400000095367,5318.799999952316,5840.799999952316,5059.5
6136160.0,virus,5564.5,4771.799999952316,,10081.100000023842,2676.0,6923.299999952316,5388.100000023842,3044.100000023842,7669.799999952316,4158.099999904633
6136160.0,chimpanzee,7280.299999952316,6036.5,10081.100000023842,,3967.0,3993.099999904633,3995.700000047684,5545.799999952316,3891.099999904633,4988.799999952316
6136160.0,human,5038.0,3784.0,2676.0,3967.0,,9095.600000023842,2876.700000047684,2951.6999999284744,3635.0,2813.399999976158
6136160.0,artificial_intelligence,4329.899999976158,3701.099999904633,6923.299999952316,3993.099999904633,9095.600000023842,,8930.399999976158,3622.5,3780.0,3789.299999952316
6136160.0,god,6822.700000047684,4104.400000095367,5388.100000023842,3995.700000047684,2876.700000047684,8930.399999976158,,3174.5,4172.100000023842,4495.0
6136160.0,rock,4141.100000023842,5318.799999952316,3044.100000023842,5545.799999952316,2951.6999999284744,3622.5,3174.5,,3173.899999976158,4892.800000071526
6136160.0,autonomous_car,6344.800000071526,5840.799999952316,7669.799999952316,3891.099999904633,3635.0,3780.0,4172.100000023842,3173.899999976158,,7121.600000023842
6136160.0,computer,7287.100000023842,5059.5,4158.099999904633,4988.799999952316,2813.399999976158,3789.299999952316,4495.0,4892.800000071526,7121.600000023842,
6136156.0,jelly_fish,,1343.0,1756.0,4708.0,3453.0,2047.0,1860.0,2158.0,1428.0,1592.0
6136156.0,robot,1343.0,,2863.0,1094.0,848.0,2570.0,2064.0,11576.0,2093.0,1561.0
6136156.0,virus,1756.0,2863.0,,8800.0,1689.0,1818.0,1351.0,1595.0,2119.0,3779.0
6136156.0,chimpanzee,4708.0,1094.0,8800.0,,1303.0,1463.0,2081.0,1449.0,993.0,1439.0
6136156.0,human,3453.0,848.0,1689.0,1303.0,,5082.0,1517.0,1329.0,6233.0,3783.0
6136156.0,artificial_intelligence,2047.0,2570.0,1818.0,1463.0,5082.0,,1952.0,4440.0,2530.0,1982.0
6136156.0,god,1860.0,2064.0,1351.0,2081.0,1517.0,1952.0,,3288.0,1376.0,2480.0
6136156.0,rock,2158.0,11576.0,1595.0,1449.0,1329.0,4440.0,3288.0,,1786.0,1626.0
6136156.0,autonomous_car,1428.0,2093.0,2119.0,993.0,6233.0,2530.0,1376.0,1786.0,,1595.0
6136156.0,computer,1592.0,1561.0,3779.0,1439.0,3783.0,1982.0,2480.0,1626.0,1595.0,
6136158.0,jelly_fish,,2665.300000000745,7238.29999999702,2408.60000000149,5107.300000000745,4402.5,38578.0,1978.4000000022352,3871.39999999851,2542.5
6136158.0,robot,2665.300000000745,,5008.199999999255,5135.10000000149,3081.300000000745,3493.5,2375.5,2890.300000000745,6046.0,3501.5
6136158.0,virus,7238.29999999702,5008.199999999255,,2385.60000000149,3119.300000000745,3973.800000000745,2441.5,2223.699999999255,3170.60000000149,6190.10000000149
6136158.0,chimpanzee,2408.60000000149,5135.10000000149,2385.60000000149,,7019.900000002235,2121.400000002235,3630.699999999255,2660.800000000745,2304.900000002235,4683.199999999255
